ULIKey,Address,Village,County,Model,Price,Bedrooms,Baths,SquareFeet,Garage,Pool,Latitude,Longitude,Status,SaleType,YouTubeVideoId,VLSNumber
S603.132,1705 EL NINO ST,The Village Alhambra,Sumter,Colony,299000,2,2,1121,"1 Car, plus Golf Car Garage",,28.95540684,-81.99216565,A,P,,245445
S601.38,1613 NAVIDAD ST,The Village Alhambra,Sumter,Colony,299000,2,2,1121,"1 Car, plus Golf Car Garage",,28.95371062,-81.98800002,A,P,TN1yKTt7QaQ,246084
S601.54,1620 DURAN DR,The Village Alhambra,Sumter,Colony,268900,2,2,1121,"1 Car, plus Golf Car Garage",,28.95235184,-81.98804154,A,P,,246032
S601.58,1628 DURAN DR,The Village Alhambra,Sumter,Colony,269500,2,2,1121,"1 Car, plus Golf Car Garage",,28.95220396,-81.98860622,A,P,,245863
S601.89,2608 BOTELLO AVE,The Village Alhambra,Sumter,Colony,258000,2,2,1121,"1 Car, plus Golf Car Garage",,28.95476628,-81.99016829,A,P,,243683
S24.24,2509 PRIVADA DR,The Village Alhambra,Sumter,Stetson III,329000,3,2,1527,2 Car Garage,,28.95148551,-81.99080781,A,P,zuEjKHARKh8,244524
S24.84,2535 BOTELLO AVE,The Village Alhambra,Sumter,Maverick III,329000,3,2,1210,"1 Car, plus Golf Car Garage",,28.95305112,-81.99131978,A,P,,245955
S31.49,2718 PRIVADA DR,The Village Alhambra,Sumter,Corpus Christi,289000,2,2,1229,,,28.95329483,-81.99705653,A,P,,245456
S31.90,2713 PRIVADA DR,The Village Alhambra,Sumter,Stetson,289000,2,2,1248,2 Car Garage,,28.95363446,-81.99636152,A,P,,243922
S31.126,2799 PRIVADA DR,The Village Alhambra,Sumter,Maverick,269000,2,2,1091,"1 Car, plus Golf Car Garage",,28.95475311,-81.99525751,A,P,,244769
L7.1227,1619 W SCHWARTZ BLVD,The Village of Country Club Hills,Lake,Manufactured Home,219000,2,2,1300,,,28.95342747,-81.95402597,A,P,,245573
L7.1260,1765 LAUREN LN,The Village of Country Club Hills,Lake,Manufactured Home,219555,2,2,1270,,,28.95502115,-81.95233154,A,P,,244415
L7.1401,1731 W SCHWARTZ BLVD,The Village of Country Club Hills,Lake,Manufactured Home,265000,2,2,1092,,,28.95799621,-81.95059159,A,P,,244933
L7.1407,1743 W SCHWARTZ BLVD,The Village of Country Club Hills,Lake,Manufactured Home,115900,0,0,0,,,28.95803071,-81.9493937,A,P,,245658
L7.1430,1757 W SCHWARTZ BLVD,The Village of Country Club Hills,Lake,Sun Kissed III,339900,3,2,1392,2 Car Garage,,28.95943084,-81.94939706,A,P,,244818
L8.1513,1716 LILLY LN,The Village of Country Club Hills,Lake,Manufactured Home,249900,2,2,1448,,,28.95564922,-81.94839101,A,P,ioyidzrKfnY,245237
L8.1522,1705 LILLY LN,The Village of Country Club Hills,Lake,Manufactured Home,219942,2,2,1352,,,28.95650345,-81.94699512,A,P,,244384
L8.1535,939 OLEANDER ST,The Village of Country Club Hills,Lake,Manufactured Home,189900,2,2,1092,,,28.95765478,-81.94595687,A,P,,246152
L8.1598,1705 MAGNOLIA AVE,The Village of Country Club Hills,Lake,Manufactured Home,179900,2,2,1092,,,28.95556687,-81.94707124,A,P,,245572
L8.1603,1631 MAGNOLIA AVE,The Village of Country Club Hills,Lake,Manufactured Home,205000,2,2,1040,,,28.95471557,-81.94644305,A,P,Jj5IV8DVo3M,244910
L8.1704,911 ORCHID ST,The Village of Country Club Hills,Lake,Manufactured Home,224900,2,2,1342,,,28.95795899,-81.94354773,A,P,,245687
L8.1717,937 ORCHID ST,The Village of Country Club Hills,Lake,Manufactured Home,219900,3,2,1365,,,28.95617247,-81.94529247,A,P,,246067
L8.1837,1858 W SCHWARTZ BLVD,The Village of Country Club Hills,Lake,Manufactured Home,199900,2,2,1139,,,28.95887946,-81.94101455,A,P,,245479
L8.1908,1833 W SCHWARTZ BLVD,The Village of Country Club Hills,Lake,Cedar Key,338500,3,3,1830,2 Car Garage,,28.95979878,-81.94357595,A,P,,244707
L8.1951,1873 W SCHWARTZ BLVD,The Village of Country Club Hills,Lake,Manufactured Home,239000,2,2,1182,,,28.95987307,-81.93984811,A,P,-qgxylMhZ7M,245659
L9.2520,1718 PEBBLE BEACH LN,The Village of Country Club Hills,Lake,Manufactured Home,210000,2,2,1412,,,28.95539346,-81.94129958,A,P,,244631
L9.2554,1606 MYRTLE BEACH DR,The Village of Country Club Hills,Lake,Manufactured Home,219900,2,2,1332,,,28.95260514,-81.94414168,A,P,,246041
L9.2569,1714 MYRTLE BEACH DR,The Village of Country Club Hills,Lake,Manufactured Home,199500,2,2,1144,,,28.95508336,-81.94295195,A,P,,245922
L9.2578,1732 MYRTLE BEACH DR,The Village of Country Club Hills,Lake,Manufactured Home,172500,2,1,1096,,,28.95597423,-81.94160946,A,P,,246105
L9.2601,1617 HILTON HEAD BLVD,The Village of Country Club Hills,Lake,Manufactured Home,209000,2,2,1144,,,28.95333119,-81.94419849,A,P,wQlZKHN6n0Q,245983
L9.2609,1602 HILTON HEAD BLVD,The Village of Country Club Hills,Lake,Manufactured Home,289850,2,2,1248,,,28.95194351,-81.94506011,A,P,DRRujXDbMKY,244641
L9.2668,1607 DORAL CIR,The Village of Country Club Hills,Lake,Manufactured Home,239000,2,2,1040,,,28.9545334,-81.94116482,A,P,6XluD7nSmqk,244824
L10.2162,1536 E SCHWARTZ BLVD,The Village of Country Club Hills,Lake,El Paso,309500,2,2,1040,,,28.95308445,-81.93699444,A,P,,243991
L10.2184,1716 E SCHWARTZ BLVD,The Village of Country Club Hills,Lake,Manufactured Home,269850,2,2,1144,,,28.95656854,-81.93663664,A,P,bTyKuL5B-I0,244638
L10.2224,1630 CYPRESS PT,The Village of Country Club Hills,Lake,Cedar Key,235000,2,2,1279,,,28.95607024,-81.93948561,A,P,,245132
L10.2286,1613 BAY MEADOWS LN,The Village of Country Club Hills,Lake,St Lucia,249000,2,2,1384,,,28.95271174,-81.93878812,A,P,,245637
L10.2335,1523 HILLCREST DR,The Village of Country Club Hills,Lake,Manufactured Home,292850,2,2,1191,,,28.95091982,-81.9413702,A,P,lMatinMSfNk,244639
L10.2428,712 SAINT ANDREWS BLVD,The Village of Country Club Hills,Lake,Manufactured Home,209000,2,2,1040,,,28.95387503,-81.93841941,A,P,,246148
L11.2825,1612 PINEHURST DR,The Village of Country Club Hills,Lake,El Paso,250000,2,2,1040,"1 Car, plus Golf Car Garage",,28.95368075,-81.93577962,A,P,,245130
L13.3300,1424 W SCHWARTZ BLVD,The Village of Country Club Hills,Lake,Site Built Home,267000,2,2,1332,,,28.95066011,-81.95144772,A,P,,245560
